Date,Close/Last,Volume,Open,High,Low
05/22/2025,$201.36,46742410,$200.71,$202.75,$199.70
05/21/2025,$202.09,59211770,$205.17,$207.04,$200.71
05/20/2025,$206.86,42496640,$207.67,$208.47,$205.03
05/19/2025,$208.78,46140530,$207.91,$209.48,$204.26
05/16/2025,$211.26,54737850,$212.36,$212.57,$209.77
05/15/2025,$211.45,45029470,$210.95,$212.96,$209.54
05/14/2025,$212.33,49325830,$212.43,$213.94,$210.5801
05/13/2025,$212.93,51909330,$210.43,$213.40,$209.00
05/12/2025,$210.79,63775810,$210.97,$211.2679,$206.75
05/09/2025,$198.53,36453920,$199.00,$200.5399,$197.535
05/08/2025,$197.49,50478870,$197.72,$200.05,$194.6796
05/07/2025,$196.25,68616940,$199.17,$199.44,$193.25
05/06/2025,$198.51,51216480,$198.21,$200.65,$197.02
05/05/2025,$198.89,69018450,$203.10,$204.10,$198.21
05/02/2025,$205.35,101010600,$206.09,$206.99,$202.16
05/01/2025,$213.32,57365680,$209.08,$214.56,$208.90
04/30/2025,$212.50,52286450,$209.30,$213.58,$206.6705
04/29/2025,$211.21,36827630,$208.693,$212.24,$208.37
04/28/2025,$210.14,38743070,$210.00,$211.50,$207.46
04/25/2025,$209.28,38222260,$206.365,$209.75,$206.20
04/24/2025,$208.37,47310990,$204.89,$208.8299,$202.94
04/23/2025,$204.60,52929170,$206.00,$208.00,$202.799
04/22/2025,$199.74,52976370,$196.12,$201.59,$195.97
04/21/2025,$193.16,46742540,$193.265,$193.80,$189.8112
04/17/2025,$196.98,52164680,$197.20,$198.8335,$194.42
04/16/2025,$194.27,59732420,$198.36,$200.70,$192.37
04/15/2025,$202.14,51343870,$201.855,$203.51,$199.80
04/14/2025,$202.52,101352900,$211.44,$212.94,$201.1621
04/11/2025,$198.15,87435920,$186.10,$199.54,$186.06
04/10/2025,$190.42,121880000,$189.065,$194.7799,$183.00
04/09/2025,$198.85,184395900,$171.95,$200.61,$171.89
04/08/2025,$172.42,120859500,$186.70,$190.335,$169.2101
04/07/2025,$181.46,160466300,$177.20,$194.15,$174.62
04/04/2025,$188.38,125910900,$193.89,$199.88,$187.34
04/03/2025,$203.19,103419000,$205.54,$207.49,$201.25
04/02/2025,$223.89,35905900,$221.315,$225.19,$221.02
04/01/2025,$223.19,36412740,$219.805,$223.68,$218.90
03/31/2025,$222.13,65299320,$217.005,$225.62,$216.23
03/28/2025,$217.90,39818620,$221.67,$223.81,$217.68
03/27/2025,$223.85,37094770,$221.39,$224.99,$220.5601
03/26/2025,$221.53,34532660,$223.51,$225.02,$220.47
03/25/2025,$223.75,34493580,$220.77,$224.10,$220.08
03/24/2025,$220.73,44299480,$221.00,$221.48,$218.58
03/21/2025,$218.27,94127770,$211.56,$218.84,$211.28
03/20/2025,$214.10,48862950,$213.99,$217.4899,$212.22
03/19/2025,$215.24,54385390,$214.22,$218.76,$213.75
03/18/2025,$212.69,42432430,$214.16,$215.15,$211.49
03/17/2025,$214.00,48073430,$213.31,$215.22,$209.97
03/14/2025,$213.49,60107580,$211.25,$213.95,$209.58
03/13/2025,$209.68,61368330,$215.95,$216.8394,$208.42
03/12/2025,$216.98,62547470,$220.14,$221.75,$214.91
03/11/2025,$220.84,76137410,$223.805,$225.8399,$217.45
03/10/2025,$227.48,72071200,$235.54,$236.16,$224.22
03/07/2025,$239.07,46273570,$235.105,$241.37,$234.76
03/06/2025,$235.33,45170420,$234.435,$237.86,$233.1581
03/05/2025,$235.74,47227640,$235.42,$236.55,$229.23
03/04/2025,$235.93,53798060,$237.705,$240.07,$234.68
03/03/2025,$238.03,47183990,$241.79,$244.0272,$236.112
02/28/2025,$241.84,56833360,$236.95,$242.09,$230.20
02/27/2025,$237.30,41153640,$239.41,$242.46,$237.06
02/26/2025,$240.36,44433560,$244.33,$244.98,$239.13
02/25/2025,$247.04,48013270,$248.00,$250.00,$244.91
02/24/2025,$247.10,51326400,$244.925,$248.86,$244.42
02/21/2025,$245.55,53197430,$245.95,$248.69,$245.22
02/20/2025,$245.83,32316910,$244.94,$246.78,$244.29
02/19/2025,$244.87,32204220,$244.66,$246.01,$243.1604
02/18/2025,$244.47,48822490,$244.15,$245.18,$241.84
02/14/2025,$244.60,40896230,$241.25,$245.55,$240.99
02/13/2025,$241.53,53614050,$236.91,$242.3399,$235.57
02/12/2025,$236.87,45243290,$231.20,$236.96,$230.68
02/11/2025,$232.62,53718360,$228.20,$235.23,$228.13
02/10/2025,$227.65,33115650,$229.57,$230.585,$227.20
02/07/2025,$227.63,39707220,$232.60,$234.00,$227.26
02/06/2025,$233.22,29925350,$231.285,$233.80,$230.425
02/05/2025,$232.47,39664990,$228.53,$232.67,$228.27
02/04/2025,$232.80,45067300,$227.25,$233.13,$226.65
02/03/2025,$228.01,73063300,$229.99,$231.83,$225.70
01/31/2025,$236.00,101075100,$247.19,$247.19,$233.44
01/30/2025,$237.59,55658280,$238.665,$240.79,$237.21
01/29/2025,$239.36,45486100,$234.12,$239.855,$234.01
01/28/2025,$238.26,75707570,$230.85,$240.19,$230.81
01/27/2025,$229.86,94863420,$224.02,$232.15,$223.98
01/24/2025,$222.78,54697910,$224.78,$225.63,$221.41
01/23/2025,$223.66,60234760,$224.74,$227.03,$222.30
01/22/2025,$223.83,64126500,$219.79,$224.12,$219.79
01/21/2025,$222.64,98070430,$224.00,$224.42,$219.38
01/17/2025,$229.98,68488300,$232.115,$232.29,$228.48
